route,viewport,defect_type,evidence,severity,recommendation
/tools/hmo-license-checker,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/tools-hmo-license-checker-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/tools/hmo-license-checker,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/tools-hmo-license-checker-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/tools/hmo-license-checker,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/tools-hmo-license-checker-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/tools/rent-arrears-calculator,mobile,accessibility,status=200; console=0; network=0; a11y=2; screenshot=screenshots/tools-rent-arrears-calculator-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/tools/rent-arrears-calculator,tablet,accessibility,status=304; console=0; network=0; a11y=2; screenshot=screenshots/tools-rent-arrears-calculator-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/tools/rent-arrears-calculator,desktop,accessibility,status=304; console=0; network=0; a11y=2; screenshot=screenshots/tools-rent-arrears-calculator-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/form-3-section-8,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/form-3-section-8-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/form-3-section-8,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/form-3-section-8-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/form-3-section-8,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/form-3-section-8-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/eviction-cost-uk,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/eviction-cost-uk-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/eviction-cost-uk,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/eviction-cost-uk-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/eviction-cost-uk,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/eviction-cost-uk-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/how-to-rent-guide,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/how-to-rent-guide-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/how-to-rent-guide,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/how-to-rent-guide-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/how-to-rent-guide,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/how-to-rent-guide-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/n5-n119-possession-claim,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/n5-n119-possession-claim-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/n5-n119-possession-claim,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/n5-n119-possession-claim-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/n5-n119-possession-claim,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/n5-n119-possession-claim-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/money-claim-carpet-damage,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/money-claim-carpet-damage-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/money-claim-carpet-damage,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/money-claim-carpet-damage-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/money-claim-carpet-damage,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/money-claim-carpet-damage-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/section-8-grounds/how-to-evict-a-tenant-using-ground-1a,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/section-8-grounds-how-to-evict-a-tenant-using-ground-1a-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-write-letter-before-action-unpaid-rent,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-to-write-letter-before-action-unpaid-rent-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-write-letter-before-action-unpaid-rent,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-to-write-letter-before-action-unpaid-rent-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-write-letter-before-action-unpaid-rent,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-to-write-letter-before-action-unpaid-rent-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-bailiff-eviction,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-bailiff-eviction-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-bailiff-eviction,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-bailiff-eviction-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-bailiff-eviction,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-bailiff-eviction-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-1,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-1-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-1,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-1-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-1,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-1-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-county-court-forms,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-county-court-forms-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-county-court-forms,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-county-court-forms-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-county-court-forms,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-county-court-forms-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-long-does-eviction-take-uk,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-long-does-eviction-take-uk-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-long-does-eviction-take-uk,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-long-does-eviction-take-uk-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-long-does-eviction-take-uk,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-long-does-eviction-take-uk-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-10-11,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-10-11-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-money-claim-online,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-money-claim-online-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-14,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-14-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,mobile,console|accessibility,status=200; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,tablet,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/england-section-8-ground-12,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-england-section-8-ground-12-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/uk-guarantor-agreements-guide,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-uk-guarantor-agreements-guide-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/blog/how-to-serve-eviction-notice,desktop,console|accessibility,status=304; console=1; network=0; a11y=1; screenshot=screenshots/blog-how-to-serve-eviction-notice-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/notice-only,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-notice-only-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/complete-pack,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-complete-pack-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/money-claim,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-money-claim-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/ast,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-ast-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,mobile,accessibility,status=200; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-mobile.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,tablet,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-tablet.png,P2,Review screenshot and linked QA row before release sign-off.
/products/section-13-standard,desktop,accessibility,status=304; console=0; network=0; a11y=1; screenshot=screenshots/products-section-13-standard-desktop.png,P2,Review screenshot and linked QA row before release sign-off.
