slug,category,tags,detected_topics,ctas_rendered_count,cta_labels,cta_urls,uses_missing_route,meaningful_ctas,recommended_ctas,jurisdiction_assumptions,notes
wales-deposit-protection,Welsh Law,deposit protection; Wales; tenancy deposit; prescribed information; security deposit,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
rent-smart-wales,Welsh Law,Rent Smart Wales; landlord registration; Wales; licensing; landlord compliance,General,3,Wales Eviction Guide; Ask Heaven for Wales; View All Products,/wales-eviction-notices; /ask-heaven; /pricing,N,2,Add more context-specific CTAs,England,
wales-hmo-licensing,Welsh Law,HMO; Wales; licensing; house in multiple occupation; landlord compliance,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-fitness-human-habitation,Welsh Law,fitness for habitation; Wales; property standards; landlord obligations; HHSRS,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-possession-grounds,Welsh Law,possession grounds; Wales; eviction; mandatory grounds; discretionary grounds,Wales,4,Wales Eviction Guide; Complete Eviction Pack; Ask Heaven for Wales; Wales Notice Pack,/wales-eviction-notices; /products/complete-pack; /ask-heaven; /products/notice-only,N,4,None needed,Wales,Good coverage
wales-landlord-obligations-checklist,Welsh Law,landlord obligations; Wales; compliance; checklist; legal requirements,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-rent-increases,Welsh Law,rent increase; Wales; rent review; occupation contract; landlord rights,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-abandoned-property,Welsh Law,abandoned property; Wales; possession; tenant abandonment; landlord rights,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-joint-tenancies,Welsh Law,joint tenancy; Wales; occupation contract; joint contract-holders; succession,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-gas-electrical-safety,Welsh Law,gas safety; electrical safety; Wales; EICR; gas safety certificate; landlord compliance; Renting Homes Act,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-epc-requirements,Welsh Law,EPC; Wales; energy efficiency; MEES; landlord compliance; energy rating; rental property,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-anti-social-behaviour-possession,Welsh Law,anti-social behaviour; Wales; eviction; possession grounds; ASB; nuisance; Renting Homes Act,Wales,4,Wales Eviction Guide; Complete Eviction Pack; Ask Heaven for Wales; Wales Notice Pack,/wales-eviction-notices; /products/complete-pack; /ask-heaven; /products/notice-only,N,4,None needed,Wales,Good coverage
wales-notice-periods-landlords,Welsh Law,notice periods; Wales; Section 173; Section 186; eviction notice; Renting Homes Act; landlord notices,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-contract-holder-rights,Welsh Law,contract-holder rights; Wales; tenant rights; landlord obligations; Renting Homes Act; occupation contract,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
wales-residential-property-tribunal,Welsh Law,Residential Property Tribunal; Wales; RPT; disputes; landlord tribunal; rent disputes; property disputes,Wales,4,Wales Eviction Guide; Ask Heaven for Wales; Wales Notice Pack; View All Products,/wales-eviction-notices; /ask-heaven; /products/notice-only; /pricing,N,3,None needed,Wales,Good coverage
northern-ireland-private-tenancies-order,Northern Ireland Law,Northern Ireland; Private Tenancies Order; landlord law; NI tenancy; landlord obligations; tenant rights,NI,3,Ask Heaven for NI; NI Tenancy Agreement; View All Products,/ask-heaven; /products/ast; /pricing,N,2,Add more context-specific CTAs,NI,
northern-ireland-landlord-registration,Northern Ireland Law,Northern Ireland; landlord registration; NI registration; landlord compliance; private tenancies,NI,3,Ask Heaven for NI; NI Tenancy Agreement; View All Products,/ask-heaven; /products/ast; /pricing,N,2,Add more context-specific CTAs,NI,
northern-ireland-deposit-protection,Northern Ireland Law,Northern Ireland; deposit protection; tenancy deposit; NI deposit scheme; landlord compliance,NI,3,Ask About Deposit Rules; NI Tenancy Agreement; View All Products,/ask-heaven; /products/ast; /pricing,N,2,Add more context-specific CTAs,NI,
northern-ireland-eviction-process,Northern Ireland Law,Northern Ireland; eviction; possession; notice to quit; NI landlord; court process,NI,4,Complete Eviction Pack; Ask Heaven for NI; NI Tenancy Agreement; View All Products,/products/complete-pack; /ask-heaven; /products/ast; /pricing,N,3,None needed,NI,Good coverage
uk-landlord-insurance-guide,UK-Wide,landlord insurance; UK; buildings insurance; rent guarantee; legal expenses; liability cover,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-landlord-tax-guide,UK-Wide,landlord tax; UK; income tax; capital gains; allowable expenses; tax relief,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-gas-safety-landlords,Safety Compliance,gas safety; landlord obligations; Gas Safe Register; CP12; safety certificates; UK property,Compliance,2,Ask About Gas Safety; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-electrical-safety-landlords,Safety Compliance,electrical safety; EICR; landlord obligations; electrical testing; safety certificates; UK property,Compliance,2,Ask About EICR Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-fire-safety-landlords,Safety Compliance,fire safety; smoke alarms; carbon monoxide; landlord obligations; HMO; UK property,HMO,2,Ask About Fire Safety; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-tenant-referencing-guide,Tenant Management,tenant referencing; credit checks; landlord references; tenant screening; UK property,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-right-to-rent-checks,Legal Compliance,right to rent; immigration checks; landlord obligations; document verification; UK property,General,2,Ask About Right to Rent; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-hmo-regulations-guide,Legal Compliance,HMO; licensing; landlord regulations; house in multiple occupation; UK property,HMO,2,Ask About HMO Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-deposit-protection-guide,Legal Compliance,deposit protection; tenancy deposits; landlord obligations; TDS; DPS; UK property,Deposit,2,Ask About Deposit Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-rent-arrears-guide,Property Management,rent arrears; debt recovery; Section 8; eviction; landlord rights; UK property,Section 8,4,Section 8 Notice Template; Money Claim Pack; Section 8 Grounds Checker; Rent Arrears Calculator,/section-8-notice-template; /products/money-claim; /tools/validators/section-8; /tools/rent-arrears-calculator,N,4,None needed,UK-Wide,Good coverage
uk-tenancy-agreements-guide,Legal Compliance,tenancy agreements; AST; landlord contracts; tenancy terms; UK property,Tenancy,4,Tenancy Agreement Generator; Tenancy Agreement Template; Ask About Tenancy Agreements; View All Products,/products/ast; /tenancy-agreement-template; /ask-heaven; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-property-maintenance-obligations,Property Management,property maintenance; landlord repairs; property obligations; maintenance responsibilities; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-end-of-tenancy-guide,Property Management,end of tenancy; checkout process; tenant handover; deposit returns; UK landlords,Deposit,2,Ask About Deposit Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-property-inspections-guide,Property Management,property inspections; landlord inspections; tenant rights; property visits; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-landlord-tenant-communication,Property Management,landlord communication; tenant relations; property management; landlord tips; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-buy-to-let-investment-guide,Property Investment,buy to let; property investment; rental yield; property portfolio; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-money-claims-online-guide,Legal Compliance,money claims online; county court claims; unpaid rent; debt recovery; UK landlords,Money/Arrears,3,Money Claim Pack; Rent Arrears Calculator; View All Products,/products/money-claim; /tools/rent-arrears-calculator; /pricing,N,2,Add more context-specific CTAs,UK-Wide,
uk-landlord-software-tools-guide,Property Management,landlord software; property management tools; landlord apps; property technology; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-property-inventory-guide,Property Management,property inventory; inventory clerk; deposit protection; check-in report; UK landlords,Deposit,2,Ask About Deposit Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-rent-collection-methods-guide,Property Management,rent collection; payment methods; standing order; landlord payments; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-epc-requirements-guide,Legal Compliance,EPC; energy efficiency; MEES regulations; EPC rating; UK landlords,Compliance,2,Ask About EPC Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-landlord-licensing-guide,Legal Compliance,landlord licensing; HMO license; selective licensing; landlord registration; UK landlords,HMO,2,Ask About HMO Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-guarantor-agreements-guide,Legal,guarantor agreement; tenant guarantor; rental guarantee; landlord protection; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-letting-agent-selection-guide,Property Management,letting agent; property management; agent fees; landlord services; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-void-period-management-guide,Property Management,void periods; empty property; tenant turnover; property marketing; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-property-marketing-guide,Property Management,property marketing; rental listings; tenant advertising; property photos; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-tenant-move-in-checklist-guide,Property Management,move-in checklist; tenant handover; new tenancy; landlord checklist; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-landlord-associations-guide,Resources,landlord associations; NRLA; landlord support; membership benefits; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-tenant-retention-guide,Property Management,tenant retention; reduce turnover; landlord tips; rental income; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-right-to-rent-guide,Legal,right to rent; immigration checks; landlord compliance; document verification; UK landlords,General,2,Ask About Right to Rent; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-smoke-co-alarm-regulations-guide,Compliance,smoke alarms; carbon monoxide; fire safety; landlord compliance; UK landlords,Compliance,2,Ask About Fire Safety; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-electrical-safety-guide,Compliance,electrical safety; EICR; landlord compliance; electrical testing; UK landlords,Compliance,2,Ask About EICR Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-furnished-unfurnished-letting-guide,Property Management,furnished letting; unfurnished rental; rental options; landlord decisions; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-hmo-management-guide,Property Management,HMO; house share; HMO licensing; HMO management; UK landlords,HMO,2,Ask About HMO Rules; View All Products,/ask-heaven; /pricing,N,1,Add more context-specific CTAs,UK-Wide,Limited CTA coverage
uk-student-letting-guide,Landlord Guides,student letting; student accommodation; student tenants; university rentals; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-holiday-let-regulations-guide,Landlord Guides,holiday let; short-term rental; Airbnb regulations; planning permission; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-corporate-letting-guide,Landlord Guides,corporate letting; company tenants; serviced accommodation; relocation; UK landlords,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage
uk-property-portfolio-growth-guide,Landlord Guides,property portfolio; portfolio growth; property investment; landlord strategy; wealth building,General,4,Ask Heaven; Tenancy Agreement Generator; UK Eviction Guide; View All Products,/ask-heaven; /products/ast; /how-to-evict-tenant; /pricing,N,3,None needed,UK-Wide,Good coverage